"Word1","hana2","jigokuhen_shinji2","kaeru2","kaigara2","karenosho2","kiseru2","onna2","rashomon2","sarano_hana2","torokko2","anitachi2","asa2","asamasiki_mono2","hashire_merosu2","kirigirisu2","ningen_shikkaku2","onnano_ketto2","sekibetsu2","soseiki2","uso2"
"ものの",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,9,0,1
"かい",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,2,1,0
"なり",2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,6,2,1,0,0
"ちゃ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,4,0,1
"デ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"け",0,5,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,1,0,1
"どころか",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,5,1,0
"にて",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0
"ヲ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"なぞ",2,5,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"迄",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,1,0
"つつ",0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,4,0,1,0
"によって",1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"だり",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0
"っと",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,1,0
"ど",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,2,0,0
"のう",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4
"たって",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0
"べ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
"しも",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"といった",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0
"にかけて",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"わい",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0
"じゃあ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
"ども",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"における",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"につれて",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"に対し",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"に従って",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
"んで",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"に関する",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"ん",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"すら",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"なんぞ",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ヨ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"および",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"だに",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"っていう",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ってな",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ていう",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"にあたって",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"にあたり",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"にとり",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"にわたり",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ねん",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ばっか",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"やいなや",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"をめぐって",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"を通じて",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ネ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ヘ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"之",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
