"Word1","菅2020"
"ちゅうちょ",1
"ところ",1
"ふるさと",1
"ぶり",1
"ほか",1
"わり",1
"アベノミクス",1
"イノベーション",1
"イベント",1
"イン",1
"インフルエンザ",1
"イージス・アショア",1
"ウィズ",1
"オリンピック",1
"カーボン",1
"カ国",1
"カ月",1
"ガウン",1
"ガス",1
"キャンペーン",1
"コンサート",1
"コーポレートガバナンス",1
"システム",1
"スピード",1
"センター",1
"セーフティー",1
"テレワーク",1
"ネット",1
"ハイレベル",1
"バウンド",1
"バブル",1
"パラリンピック",1
"ファンド",1
"ベビーシッター",1
"ベンチャー",1
"マスク",1
"マーケット",1
"ミサイル",1
"リサイクル",1
"リスク",1
"ロボット",1
"ワクチン",1
"ワーケーション",1
"一体化",1
"一刻",1
"一挙",1
"一方",1
"一部",1
"万博",1
"下",1
"下旬",1
"下落",1
"与野党",1
"両国",1
"中堅",1
"中途",1
"主権",1
"予断",1
"予測",1
"予防",1
"事前",1
"交換",1
"交流",1
"交渉",1
"人口",1
"人気",1
"人生",1
"人間",1
"人類",1
"今年",1
"今月",1
"代",1
"代替",1
"以前",1
"件",1
"休業",1
"会",1
"会談",1
"低迷",1
"住まい",1
"住宅",1
"供給",1
"保健所",1
"保育",1
"個々人",1
"個性",1
"倍",1
"像",1
"先日",1
"先端",1
"先送り",1
"先進",1
"免許",1
"公",1
"公務員",1
"公示",1
"公表",1
"共働き",1
"共助",1
"共同",1
"共有",1
"共通",1
"内外",1
"再建",1
"冥福",1
"冬",1
"分",1
"判明",1
"利便",1
"利子",1
"制約",1
"制限",1
"前例",1
"前半",1
"前年",1
"割",1
"創設",1
"加工",1
"加速度",1
"助",1
"助成",1
"努力",1
"労働",1
"動向",1
"勢い",1
"包括",1
"北部",1
"区域",1
"半",1
"協力",1
"協定",1
"原則",1
"原子力",1
"参画",1
"取得",1
"受け入れ",1
"台",1
"台風",1
"司令塔",1
"各国",1
"同盟",1
"向き",1
"哀悼",1
"商店",1
"団塊",1
"国々",1
"国交",1
"国家",1
"国難",1
"在留",1
"地価",1
"地縁",1
"地震",1
"型",1
"垣根",1
"基地",1
"基盤",1
"基軸",1
"堤防",1
"増加",1
"変革",1
"外国",1
"多く",1
"多元",1
"多国",1
"多角",1
"大学生",1
"大雨",1
"太陽",1
"夫婦",1
"妨げ",1
"始動",1
"委員",1
"姿",1
"季節",1
"学び",1
"学園",1
"安",1
"官民",1
"宛て",1
"実感",1
"実用",1
"家庭",1
"家族",1
"宿泊",1
"密",1
"審査",1
"寿命",1
"将来",1
"小中学生",1
"少子化",1
"就業",1
"届け",1
"展開",1
"崩壊",1
"工事",1
"市町村",1
"帰国",1
"帰還",1
"平均",1
"年初",1
"年度",1
"年月",1
"幼稚園",1
"庁",1
"廃止",1
"延べ",1
"建設",1
"引き上げ",1
"引き下げ",1
"役所",1
"後押し",1
"従事",1
"復帰",1
"志向",1
"応援",1
"恒久",1
"恩",1
"意",1
"意見",1
"感",1
"懸案",1
"成果",1
"戦後",1
"所",1
"手紙",1
"手続き",1
"技術",1
"投資",1
"抜本",1
"押印",1
"担保",1
"拠点",1
"持続",1
"指摘",1
"指示",1
"排出",1
"採用",1
"接種",1
"提供",1
"携帯",1
"撤廃",1
"支給",1
"支配",1
"改定",1
"改正",1
"放流",1
"政党",1
"政治",1
"敬意",1
"数",1
"数量",1
"料金",1
"新規",1
"方策",1
"方針",1
"施設",1
"旅",1
"旅行",1
"既得",1
"日々",1
"日系",1
"昨年",1
"普及",1
"最低",1
"最前線",1
"最少",1
"最終",1
"最高",1
"期",1
"期待",1
"本土",1
"本部",1
"条件",1
"条約",1
"来月",1
"枠",1
"柱",1
"株",1
"核",1
"業",1
"構造",1
"標準",1
"権益",1
"機会",1
"次世代",1
"歳",1
"気持ち",1
"水力",1
"水害",1
"水産",1
"水量",1
"氷河期",1
"河川",1
"注力",1
"注意",1
"注視",1
"活力",1
"流域",1
"流行",1
"浮き彫り",1
"浮上",1
"清算",1
"減",1
"温室",1
"準備",1
"演劇",1
"激変",1
"火力",1
"災",1
"点",1
"無人",1
"無料",1
"熱意",1
"爆発",1
"状態",1
"献身",1
"猶予",1
"率",1
"率先",1
"生徒",1
"申請",1
"男女",1
"町長",1
"留学生",1
"発信",1
"発想",1
"発揮",1
"発生",1
"発見",1
"登用",1
"目標",1
"直接",1
"直近",1
"相手",1
"相談",1
"省エネルギー",1
"省益",1
"県",1
"真正面",1
"着手",1
"石炭",1
"研究",1
"確立",1
"確認",1
"移設",1
"税制",1
"突破口",1
"立地",1
"立場",1
"端末",1
"競技",1
"策",1
"約束",1
"納税",1
"紹介",1
"終止符",1
"絆",1
"経験",1
"結果",1
"給付",1
"給料",1
"統一",1
"絶対",1
"総力",1
"総動員",1
"総務",1
"繁栄",1
"考え方",1
"職場",1
"育休",1
"脆弱",1
"自助",1
"自動",1
"自身",1
"若者",1
"英語",1
"落ち込み",1
"薬価",1
"虐待",1
"融資",1
"血縁",1
"街",1
"表情",1
"見直し",1
"見舞い",1
"観点",1
"解決",1
"解消",1
"解除",1
"計画",1
"訓練",1
"訪問",1
"設立",1
"診療",1
"認定",1
"誠",1
"調査",1
"談話",1
"諸国",1
"負担",1
"貧困",1
"責任",1
"責務",1
"資格",1
"足元",1
"軽減",1
"農家",1
"農林",1
"途上",1
"連合",1
"遊水地",1
"運用",1
"運転",1
"過半",1
"過去",1
"適用",1
"避難",1
"都",1
"重点",1
"鈍化",1
"銀行",1
"長",1
"開催",1
"開始",1
"開発",1
"関連",1
"防止",1
"防災",1
"防疫",1
"防護",1
"除去",1
"陽性",1
"障害",1
"隣国",1
"難病",1
"雪",1
"電池",1
"需要",1
"革新",1
"風評",1
"飛行場",1
"飲食",1
"首脳",1
"高",1
"高校生",1
"魅力",1
"％",1
"３月",1
"４月",1
"６月",1
"７月",1
"ＩＴ",1
